symbol,total_return,annualized_return,sharpe,max_drawdown,calmar,win_rate,win_loss_ratio,number_of_transactions,average_holding_hours,average_profit_loss_per_transaction
I,1.244872413863055,0.6280243772976254,2.3000042958590314,-0.10105193330197215,6.21486751194466,0.5849056603773585,3.093959022084708,53,187.81132075471697,0.023687196391651698
SA,1.3545524127015396,0.6833567247779522,2.218586407917243,-0.12662789033792055,5.396573558592338,0.6153846153846154,2.1485219490039102,52,209.5096153846154,0.025599477887806484
RB,0.7079601072152526,0.3571580513264793,2.0010256625868035,-0.05142064498554777,6.945810411885377,0.6206896551724138,2.2843117490761826,58,183.0,0.012408592690888108
V,0.5632041142933164,0.2841302524110964,1.7118430792267272,-0.06759961448480767,4.203134212769095,0.5714285714285714,2.306837846965081,49,209.87755102040816,0.011194304045142432
HC,0.5480290942212576,0.27647462246452253,1.5913875925565897,-0.06613893400646786,4.1802098358205395,0.5294117647058824,2.0337325269552173,68,159.15441176470588,0.008195294110825637
OI,0.6643716889733777,0.335168175963434,1.5765847006999723,-0.08616256069163497,3.8899514275458804,0.5,2.4654345305819145,58,186.31034482758622,0.0117994523212764
CU,0.40928534128956806,0.20647993219062807,1.5713684808260013,-0.08285624558432003,2.492026168148065,0.47674418604651164,2.44813484116031,86,116.5312015503876,0.0046795748528759
CF,0.5582797178227028,0.2816459488048925,1.442987067912706,-0.10907688549458483,2.582086456977862,0.5370370370370371,2.825149697261945,54,187.77777777777777,0.010432372426655848
SR,0.28517331941696344,0.14386678855945567,1.4000136911949934,-0.07414852946865103,1.940251406068418,0.6140350877192983,1.5136478488172669,57,177.89473684210526,0.005172782531827614
ZN,0.38850368943922886,0.1959958184636441,1.1792928623474461,-0.07042033727926567,2.783227488479418,0.4935064935064935,2.121241739122709,77,125.4164502164502,0.005040082012115676
EB,0.47129699825323024,0.23776412791711649,1.0784745767791977,-0.13472477712122632,1.7648136667776753,0.5098039215686274,1.8610532497878693,51,210.11764705882354,0.00947615722435598
FG,0.5299699644325009,0.26736399103449027,0.9376126711443367,-0.17310192876495756,1.544546574044962,0.4909090909090909,1.826775033659519,55,182.26363636363635,0.009134788386243358
MA,0.39530791500944296,0.19942847507900419,0.8758999932378919,-0.13014026938647427,1.532411727893128,0.49206349206349204,1.8672790492456566,63,171.4047619047619,0.006109420652730545
M,0.32871170369152036,0.16583142233885056,0.8682502692906758,-0.14759341663975056,1.1235692357716451,0.4666666666666667,1.982133988197304,60,159.175,0.005389779037575106
P,0.41371353539436706,0.20871390718617758,0.7720685764858681,-0.1930321786856245,1.0812389343959725,0.5606060606060606,1.288016931710902,66,151.5909090909091,0.006304097118437803
SC,0.47053171016736584,0.23737804853401986,0.759270285605373,-0.25333473169651344,0.9370134404562848,0.4827586206896552,1.5905464986849378,87,117.2963601532567,0.005661934715410185
SN,0.4415433799556008,0.2227537562552254,0.7561127231373675,-0.1953627383868981,1.1402059476361448,0.4358974358974359,2.0146767951151174,78,112.38632478632478,0.005448569318093362
RU,0.22000853078468152,0.1109918727473825,0.7486583215031754,-0.18121277907772393,0.6124947330550954,0.5074626865671642,1.4879796912854828,67,140.0597014925373,0.0033001157410283794
Y,0.3077184470067338,0.15524055631106287,0.7382212207554627,-0.2664700886756206,0.5825815463289777,0.4426229508196721,1.9045727414541544,61,180.61475409836066,0.005012747806724727
RM,0.3652672445704723,0.18427328878365334,0.7344598575370348,-0.2099701231827752,0.877616710370012,0.45454545454545453,1.8822402316814815,55,162.1909090909091,0.00611659204036782
PP,0.17651186305618838,0.08904828450452044,0.6411461019276153,-0.12278121354538396,0.7252598498841623,0.49206349206349204,1.5095799516314983,63,174.71428571428572,0.0027638552169783736
SP,0.22509396593444375,0.11355741858778395,0.6068094293743435,-0.2505217444615436,0.4532836813501257,0.5230769230769231,1.2734912095280713,65,146.7,0.0035227282869025765
NI,0.4093620422297619,0.20651862696743167,0.5668969085559612,-0.23834530769994233,0.8664681883623323,0.45348837209302323,1.610757934468537,86,110.14748062015505,0.0043570404344166185
TA,0.16997134160050353,0.08574866370108275,0.37308820915267316,-0.22473867624509136,0.3815483170665674,0.3968253968253968,1.784388638612713,63,157.11904761904762,0.001952687331579924
AG,0.1204673290619449,0.06077443638104334,0.3723447736370991,-0.10080374673053094,0.6028985861359484,0.43373493975903615,1.573795741784188,83,106.77309236947792,0.0013563311716730466
PG,0.16142408649531004,0.08143666794532042,0.3213294262957856,-0.29319207300835015,0.2777587644499553,0.3898305084745763,1.8914936098309805,59,154.88135593220338,0.003164704686920691
FU,0.09850771976721395,0.04969605613946809,0.15106458410926493,-0.2718247032670811,0.18282391387599267,0.46875,1.1987404362140537,64,149.4609375,0.000969524526398362
EG,0.03101896920746583,0.015648727214125545,0.07614628938828778,-0.19042247674676438,0.0821789921099293,0.4411764705882353,1.3176657381440489,68,140.5808823529412,0.0004144931067960329
AU,0.01344468868611215,0.0067826968820476,0.07422898129189873,-0.10045798603536882,0.06751774696796706,0.375,1.7070430488962052,88,106.31515151515151,9.483243029569446e-05
AL,0.011302156337908098,0.005701812986769244,0.03726858893714781,-0.13903273945897,0.04101057786070531,0.47674418604651164,1.0858563366229042,86,107.05852713178294,-5.871731393079501e-05
BU,-0.09042680407192516,-0.04561932346308103,-0.18907435754420654,-0.2681778027855727,-0.17010849887362578,0.421875,1.1317646404297381,64,147.6328125,-0.001854965288617244
