timestamp,SP,P,BU,CU,V,FG,CF,SC,AU,AG,MA,PG,RM,RU,TA,EB,SR,FU,I,SN,OI,ZN,Y,SA,M,RB,EG,PP,AL,NI,HC
2022-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-01-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-01-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-01-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9900927937171748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9907258267140845,0.9862895027819171,1.0
2022-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9854650606317652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0002379944369806,0.9932110849934332,1.0
2022-01-12,1.0,1.0,1.0,0.99643029787231,0.9974382411801647,0.9920608624344931,1.0,0.9853793891202046,0.9966915507394348,1.0,1.0,1.0,1.0,0.9969839574608782,1.0,1.0,1.0,1.0,0.9845880222541958,1.0104211278345738,1.0,1.0003440695330312,1.0,1.001718278432628,1.0,0.9925212962323409,1.0,1.0039747334947158,1.024574942257093,1.0342595260706862,0.9939097940359346
2022-01-13,1.0,1.0143243584610033,1.0,1.0287970206930166,0.9974382411801647,1.0334796054820776,1.0022592900833014,1.0083566820669276,1.0009048868888757,0.9962952943212661,1.0,0.9914767787052254,1.0073000689637486,1.0118454134288664,1.0,1.0,1.0,1.0,1.0128555109538704,1.0412721081764813,1.0,1.0074358604758555,1.0,1.0325926562701733,1.0074314678589507,1.0149899309306132,1.0,0.9929698434687956,1.0083760782704252,1.0558347076972008,1.0163145450675004
2022-01-14,1.0024952609846853,1.0124858185508205,1.0,1.0174173040271355,1.0173908711250617,1.055462947161268,1.0003801679031104,1.0042594866397552,0.9898632590750555,0.9948166710230454,0.9902005667411339,1.008479801933676,1.0089011483037527,0.9981272650736311,1.0009867043491292,1.009381003907974,0.9973168385226783,1.0091626281623107,0.9901552771031822,1.0188439121040451,0.9855241710712359,1.0094481805369575,1.000045037116675,1.028051659029521,1.00807713817903,1.010605549650751,0.9991185369554693,0.998729604183697,1.0083760782704252,1.0583633972122162,1.0091485406718665
2022-01-17,0.9965588672855937,1.0037780344653602,1.0,1.0000281423703015,1.010190567242659,1.069414725264195,1.0061732085585244,1.0025791872832894,0.9919237424961941,0.9952103809963505,1.0114617022150563,1.0466983671573284,1.0149358630079597,0.9904593351344912,0.9909252512686704,1.0264416579671622,0.99785126084611,1.0211388382038042,0.9596995260066442,1.0188439121040451,1.0048298721505253,0.9928557133069332,0.993869557778933,1.0344897127500539,1.0163991699803128,0.982778340395647,0.9942607109716066,0.9935805707267568,1.0083760782704252,1.047863636728227,0.9806909422859573
2022-01-18,0.9965588672855937,1.0253132981509245,0.9859489270096619,1.0000281423703015,1.000547458517347,1.0586399876237353,0.9989303761388656,1.011179296062358,0.9910037347214078,0.9952103809963505,0.9992786318763107,1.0333347140791322,1.0242691555922931,0.9904593351344912,0.9837575640733304,1.002661570931838,0.9966842722936277,1.0260935862735157,0.9596995260066442,1.0187344164814194,0.9943836659720411,0.9928557133069332,1.0054279569034867,1.024603006326759,1.0245048117390179,0.982778340395647,0.9666555382730998,0.9811707126768885,1.0083760782704252,1.047863636728227,0.9806909422859573
2022-01-19,0.9965588672855937,1.034759124807293,1.0432862186422946,0.9979096315439779,1.022800507941183,1.1046651377540853,1.0131110539825954,1.0286765349323077,0.9910037347214078,0.9946249117505855,1.0556413304145036,1.0316773747152452,1.0345276086623558,0.9904593351344912,1.0134946898472976,1.0313591562891398,1.0012734783251631,1.0490965599089785,0.9596995260066442,1.0371162941893566,0.975340443192626,0.9928557133069332,1.0054850853797568,1.0551338952114173,1.0342957770966312,0.982778340395647,1.0058027695874674,1.0074638223945627,1.0046242214522416,1.047863636728227,0.9806909422859573
2022-01-20,0.9965588672855937,1.0516205304557162,1.0710468745754218,0.9871256328602906,1.020167071971232,1.1142859879607698,1.0235730070105318,1.0415460767633336,0.9905123714522076,1.008828367119626,1.0562291511449033,1.0347663009978523,0.9942965934046342,0.9904593351344912,1.0134946898472976,1.0313591562891398,0.9981596390974408,1.0676522649263256,0.9596995260066442,1.0662838901304021,0.9859329678822049,0.992736098987303,1.0233091824601463,1.0588848119870922,1.0004526896357404,0.9830861247084025,1.0058027695874674,1.0097675523223393,1.0105201965177109,1.0501188917488091,0.9809486190426372
