timestamp,portfolio_equity
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,1.0
2022-01-10,0.9989389717165541
2022-01-11,0.9993198109697476
2022-01-12,1.0003643899662156
2022-01-13,1.0091145274014304
2022-01-14,1.0077940266312677
2022-01-17,1.0065905443619072
2022-01-18,1.0034723756289559
2022-01-19,1.0169056685124507
2022-01-20,1.0199750077197973
2022-01-21,1.0258973920693653
2022-01-24,1.0272558990347476
2022-01-25,1.0175891949651474
2022-01-26,1.019655323493991
2022-01-27,1.0235598325966706
2022-01-28,1.029853707962928
2022-02-07,1.0483966135868403
2022-02-08,1.0503455096045917
2022-02-09,1.0352102013802478
2022-02-10,1.0395095565065318
2022-02-11,1.0471556144035143
2022-02-14,1.0361672313059318
2022-02-15,1.0372151169354324
2022-02-16,1.0355481485227742
2022-02-17,1.0364018847672032
2022-02-18,1.043796434471373
2022-02-21,1.0417739823429324
2022-02-22,1.037457639739366
2022-02-23,1.042304544225457
2022-02-24,1.0485181881736323
2022-02-25,1.0587283454642342
2022-02-28,1.0492447543625174
2022-03-01,1.0576213417025662
2022-03-02,1.0612947916995572
2022-03-03,1.0656288213020033
2022-03-04,1.0793733612949332
2022-03-07,1.086891671932281
2022-03-08,1.1049483293150284
2022-03-09,1.1357115224030039
2022-03-10,1.11119605995465
2022-03-11,1.1011312646898008
2022-03-14,1.0967365630321502
2022-03-15,1.0988184657489857
2022-03-16,1.1031884804039604
2022-03-17,1.1063428921214804
2022-03-18,1.090092385354963
2022-03-21,1.0927568542055766
2022-03-22,1.0927361428943108
2022-03-23,1.0901119250919655
2022-03-24,1.1017324768517665
2022-03-25,1.098380395831628
2022-03-28,1.100210805584235
2022-03-29,1.093676288705277
2022-03-30,1.0944884581042413
2022-03-31,1.0954961187495835
2022-04-01,1.0914814444376797
2022-04-06,1.0959858653796497
2022-04-07,1.0959477039672572
2022-04-08,1.0978463847745679
2022-04-11,1.0980653624252283
2022-04-12,1.1009398897888742
2022-04-13,1.098141739155826
2022-04-14,1.0991704285462651
2022-04-15,1.100636232749413
2022-04-18,1.106000491158915
2022-04-19,1.1084591142037612
2022-04-20,1.1016738455505901
2022-04-21,1.1020577229249138
2022-04-22,1.1007137332993613
2022-04-25,1.0949944855160394
2022-04-26,1.1144322044284127
2022-04-27,1.1060474451437101
2022-04-28,1.105020687355821
2022-04-29,1.1004333400394255
2022-05-05,1.100116193399262
2022-05-06,1.097746944888672
2022-05-09,1.1022363785966443
2022-05-10,1.1041009686145224
2022-05-11,1.1019978855559225
2022-05-12,1.090446239105129
2022-05-13,1.0959703624438248
2022-05-16,1.0954193771936627
2022-05-17,1.0937192185559281
2022-05-18,1.0953972461055606
2022-05-19,1.089853308966888
2022-05-20,1.091966474173628
2022-05-23,1.094479947287761
2022-05-24,1.093986700708172
2022-05-25,1.0972031378250833
2022-05-26,1.0956672643950736
2022-05-27,1.0994826492610297
2022-05-30,1.0993624614544115
2022-05-31,1.0999706033107368
2022-06-01,1.0962542036115295
2022-06-02,1.0978060786583612
2022-06-06,1.0984519070481373
2022-06-07,1.098599074424425
2022-06-08,1.1030587852886298
2022-06-09,1.1044256749618826
2022-06-10,1.1028943111905074
2022-06-13,1.0936822852996426
2022-06-14,1.0964756503625086
2022-06-15,1.1011701696267
2022-06-16,1.0965441292678078
2022-06-17,1.1027308806095895
2022-06-20,1.1064516738677
2022-06-21,1.120593487617779
2022-06-22,1.1160369589221437
2022-06-23,1.136894488684769
2022-06-24,1.1472156751564744
2022-06-27,1.1587441536439615
2022-06-28,1.1488978989567409
2022-06-29,1.1451219708047287
2022-06-30,1.1452080259052773
2022-07-01,1.1441069123084007
2022-07-04,1.1549211643886426
2022-07-05,1.1526115453426342
2022-07-06,1.173028966998084
2022-07-07,1.1784847783698624
2022-07-08,1.1582907849306718
2022-07-11,1.1655810275143252
2022-07-12,1.1756486600541907
2022-07-13,1.18448735557576
2022-07-14,1.1845931982669862
2022-07-15,1.209056578560681
2022-07-18,1.1875430100343405
2022-07-19,1.1803340214354496
2022-07-20,1.1834705314577372
2022-07-21,1.1840009966380323
2022-07-22,1.1865000605860812
2022-07-25,1.1813607413714617
2022-07-26,1.179816250307779
2022-07-27,1.1783319752639039
2022-07-28,1.1783159612379355
2022-07-29,1.1916155562158695
2022-08-01,1.205280191437556
2022-08-02,1.1857887630717299
2022-08-03,1.1834141119013124
2022-08-04,1.1786236231485352
2022-08-05,1.180885060819804
2022-08-08,1.178951737580901
2022-08-09,1.17679174091247
2022-08-10,1.175299460965098
2022-08-11,1.1747071118876904
2022-08-12,1.1834509472462877
2022-08-15,1.1814151422875347
2022-08-16,1.1762127563071998
2022-08-17,1.1758965833935178
2022-08-18,1.1764821802953946
2022-08-19,1.1807627920949868
2022-08-22,1.1745713312447923
2022-08-23,1.169703452996896
2022-08-24,1.1742519485739504
2022-08-25,1.1753366424895364
2022-08-26,1.1758372898034406
2022-08-29,1.167183345986412
2022-08-30,1.1696283861401466
2022-08-31,1.1722633918598155
2022-09-01,1.1733981293233657
2022-09-02,1.1881484809248914
2022-09-05,1.1819985259376387
2022-09-06,1.1807715738804514
2022-09-07,1.1839746540034446
2022-09-08,1.1879755098685014
2022-09-09,1.189758189326199
2022-09-13,1.1980852502047552
2022-09-14,1.1938947269124263
2022-09-15,1.1932083658077592
2022-09-16,1.1874096534349563
2022-09-19,1.1861604910476777
2022-09-20,1.1876756452368054
2022-09-21,1.1865458937878555
2022-09-22,1.183935615867947
2022-09-23,1.1846096282911251
2022-09-26,1.1772835314408694
2022-09-27,1.183862090389081
2022-09-28,1.1864011925218794
2022-09-29,1.1817597620881524
2022-09-30,1.1821267987855701
2022-10-10,1.180505695597963
2022-10-11,1.1770974446577496
2022-10-12,1.1720510097182506
2022-10-13,1.173070491663044
2022-10-14,1.1761332424352224
2022-10-17,1.176392867124697
2022-10-18,1.1747791869736108
2022-10-19,1.175704672568157
2022-10-20,1.1762106036526638
2022-10-21,1.172114059981672
2022-10-24,1.173729923919519
2022-10-25,1.1788815619594022
2022-10-26,1.1790099959778173
2022-10-27,1.18083227457993
2022-10-28,1.1846164682001854
2022-10-31,1.1974024903440832
2022-11-01,1.1966111215626012
2022-11-02,1.1834471816030832
2022-11-03,1.1827862804950449
2022-11-04,1.1807234678996519
2022-11-07,1.1829560817395317
2022-11-08,1.1827765639767711
2022-11-09,1.1864946839090893
2022-11-10,1.1842725019089986
2022-11-11,1.1877733549921412
2022-11-14,1.1911742163572687
2022-11-15,1.1931262389225832
2022-11-16,1.195385846897967
2022-11-17,1.1916385969306864
2022-11-18,1.1951292872800205
2022-11-21,1.1915543561537627
2022-11-22,1.1968473428316915
2022-11-23,1.1897851729002424
2022-11-24,1.189244647000126
2022-11-25,1.1887448254084125
2022-11-28,1.189800923260239
2022-11-29,1.188184432424188
2022-11-30,1.1874012746814768
2022-12-01,1.188564896286661
2022-12-02,1.1898481387166635
2022-12-05,1.194629463360404
2022-12-06,1.1953978642755685
2022-12-07,1.2011998793702408
2022-12-08,1.2003102495218756
2022-12-09,1.2055408754468429
2022-12-12,1.2079785218243042
2022-12-13,1.2049838388318637
2022-12-14,1.2030667130193968
2022-12-15,1.206535013500727
2022-12-16,1.2122034608532204
2022-12-19,1.202551083275906
2022-12-20,1.2022304296489508
2022-12-21,1.2018160401852085
2022-12-22,1.2025660711244714
2022-12-23,1.2037338861930063
2022-12-26,1.2079180733798396
2022-12-27,1.2053612250118493
2022-12-28,1.2098065094304855
2022-12-29,1.2071166785930645
2022-12-30,1.2094473600164448
2023-01-03,1.216124098018795
2023-01-04,1.2144378253297758
2023-01-05,1.20628192837008
2023-01-06,1.205835527493736
2023-01-09,1.2056531378931254
2023-01-10,1.2019700444268868
2023-01-11,1.2028879329812139
2023-01-12,1.203868465987979
2023-01-13,1.2080674069680921
2023-01-16,1.2099849171934387
2023-01-17,1.2074875528865288
2023-01-18,1.2130646792760726
2023-01-19,1.2234510080141958
2023-01-20,1.2220177682900732
2023-01-30,1.2251887741423673
2023-01-31,1.2244151200273665
2023-02-01,1.2250230222487817
2023-02-02,1.2204180318287279
2023-02-03,1.2216817273677634
2023-02-06,1.2135783982796795
2023-02-07,1.2200908882052357
2023-02-08,1.2150961423461677
2023-02-09,1.2133681938953331
2023-02-10,1.211059401222029
2023-02-13,1.2144155822084695
2023-02-14,1.2147353367202467
2023-02-15,1.2150785624108995
2023-02-16,1.2152775539824479
2023-02-17,1.215985623667117
2023-02-20,1.2149154497413328
2023-02-21,1.2166637213679043
2023-02-22,1.2177262143435206
2023-02-23,1.2183494117396823
2023-02-24,1.2158115533185807
2023-02-27,1.2153748016606059
2023-02-28,1.2138634452225243
2023-03-01,1.214122759456403
2023-03-02,1.2130809322189178
2023-03-03,1.2162355250374144
2023-03-06,1.2165864817209455
2023-03-07,1.215379049268507
2023-03-08,1.2161440006866795
2023-03-09,1.213529173427023
2023-03-10,1.2140786204136078
2023-03-13,1.221493765739549
2023-03-14,1.2216793754976158
2023-03-15,1.226309988401998
2023-03-16,1.2375394316420891
2023-03-17,1.2433750749567896
2023-03-20,1.2399598561836696
2023-03-21,1.2436696189024137
2023-03-22,1.2436575721244612
2023-03-23,1.2465501871108913
2023-03-24,1.2539437931963666
2023-03-27,1.2552302898115892
2023-03-28,1.2529531554547824
2023-03-29,1.2536344589510546
2023-03-30,1.253652143766456
2023-03-31,1.2546664511745993
2023-04-03,1.251541983211673
2023-04-04,1.2582888339719707
2023-04-06,1.262065283395377
2023-04-07,1.2603892623920558
2023-04-10,1.2585930463026838
2023-04-11,1.2619112234252021
2023-04-12,1.2640930240304404
2023-04-13,1.2652552370128276
2023-04-14,1.2659651832673453
2023-04-17,1.2657060020510387
2023-04-18,1.2676311782980927
2023-04-19,1.2720735314988671
2023-04-20,1.2678669354300194
2023-04-21,1.267247677820276
2023-04-24,1.27081768495048
2023-04-25,1.272401368337176
2023-04-26,1.2766751915444945
2023-04-27,1.2687454189161114
2023-04-28,1.2766701639215847
2023-05-04,1.2867554790024154
2023-05-05,1.2916044693800866
2023-05-08,1.2805524536802575
2023-05-09,1.2793261315244464
2023-05-10,1.282902078244068
2023-05-11,1.2854337972540202
2023-05-12,1.2877585962296498
2023-05-15,1.2907123336332196
2023-05-16,1.2904948277341324
2023-05-17,1.2937058379600233
2023-05-18,1.29159179363959
2023-05-19,1.2947353085731366
2023-05-22,1.2947479168139606
2023-05-23,1.3045174687908796
2023-05-24,1.3079734914274268
2023-05-25,1.315904572688907
2023-05-26,1.311311694348333
