symbol,direction,entry_time,exit_time,entry_price,exit_price,gross_return,net_return,holding_hours
SP,long,2022-01-14 09:00:00,2022-01-17 21:00:00,6310.367489488977,6285.52458394912,-0.003936839745266485,-0.004336839745266485,84.0
SP,long,2022-01-21 21:00:00,2022-01-24 21:00:00,6171.752497900485,6355.303673882428,0.02974052767741142,0.02934052767741142,72.0
SP,short,2022-01-25 13:30:00,2022-01-28 13:30:00,6041.407246393395,6245.835100284113,-0.03383778738186494,-0.034237787381864934,72.0
SP,long,2022-02-07 13:30:00,2022-02-11 21:00:00,6446.785992961734,6509.801282368607,0.009774682993303863,0.009374682993303863,103.5
SP,long,2022-02-18 21:00:00,2022-03-14 13:30:00,6367.026156767676,6945.874277170267,0.09091341956987531,0.09051341956987531,568.5
SP,short,2022-03-17 09:00:00,2022-03-22 13:30:00,6830.721094000094,7051.831374628738,-0.0323699764030565,-0.0327699764030565,124.5
SP,long,2022-03-23 13:30:00,2022-03-25 13:30:00,7105.001022631356,6802.69492802157,-0.04254835342695362,-0.04294835342695362,48.0
SP,short,2022-03-31 13:30:00,2022-04-06 13:30:00,6684.089002047553,6992.270348020837,-0.04610670891409119,-0.046506708914091185,144.0
SP,long,2022-04-13 09:00:00,2022-04-25 13:30:00,7027.7719238682885,6898.6524911360275,-0.018372740910065022,-0.018772740910065023,292.5
SP,short,2022-04-26 21:00:00,2022-04-28 13:30:00,6800.6582715818395,7132.058122000411,-0.04873055477635213,-0.04913055477635213,40.5
SP,long,2022-05-05 13:30:00,2022-05-11 09:00:00,7311.541178789809,7297.005017858614,-0.0019881117504149115,-0.0023881117504149117,139.5
SP,long,2022-05-19 13:30:00,2022-05-20 09:00:00,7341.266409716679,7344.797280673976,0.00048096210656844995,8.096210656844993e-05,19.5
SP,short,2022-05-24 21:00:00,2022-05-30 13:30:00,7196.433764525165,7221.975976616913,-0.003549287456470207,-0.003949287456470207,136.5
SP,short,2022-05-31 13:30:00,2022-06-06 13:30:00,6977.282227665555,7234.722541665682,-0.03689693287442952,-0.03729693287442952,144.0
SP,short,2022-06-13 21:00:00,2022-06-28 13:30:00,7119.22315506085,6880.6051022266965,0.03351742846612793,0.03311742846612793,352.5
SP,short,2022-07-05 21:00:00,2022-07-11 09:00:00,6699.350722882887,6540.059914150592,0.02377705173550737,0.02337705173550737,132.0
SP,short,2022-07-11 13:30:00,2022-07-15 09:00:00,6410.154566147762,6518.205328983622,-0.016856186808112295,-0.017256186808112296,91.5
SP,long,2022-07-21 13:30:00,2022-08-04 13:30:00,6698.1458759211555,7033.774331739236,0.050107665917610955,0.04970766591761096,336.0
SP,short,2022-08-15 21:00:00,2022-08-22 13:30:00,6970.8913229297805,6915.044278065599,0.008011463997506296,0.007611463997506296,160.5
SP,long,2022-08-25 09:00:00,2022-08-29 21:00:00,7049.44637752226,7114.156209756984,0.009179420449392461,0.008779420449392462,108.0
SP,long,2022-09-06 13:30:00,2022-09-13 13:30:00,7194.015808584924,7185.973004413818,-0.0011179853346316992,-0.0015179853346316992,168.0
SP,long,2022-09-15 13:30:00,2022-09-21 13:30:00,7299.119394710928,7241.452209051791,-0.00790056752612145,-0.008300567526121449,144.0
SP,long,2022-09-30 13:30:00,2022-10-11 13:30:00,7352.758022985824,7188.172436702468,-0.022384197299684883,-0.022784197299684884,264.0
SP,long,2022-10-24 21:00:00,2022-10-26 21:00:00,7214.933049902459,7334.093278755731,0.0165157774894229,0.0161157774894229,48.0
SP,short,2022-10-28 21:00:00,2022-11-01 13:30:00,7179.959773824211,7259.472679724144,-0.011074282921446299,-0.011474282921446298,88.5
SP,short,2022-11-09 13:30:00,2022-11-11 13:30:00,7051.042897695776,7254.353422673932,-0.028834106943895543,-0.029234106943895544,48.0
SP,long,2022-11-16 21:00:00,2022-11-17 09:00:00,7318.02350677311,7295.254388846764,-0.0031113753468093863,-0.0035113753468093865,12.0
SP,long,2022-11-17 21:00:00,2022-11-28 13:30:00,7314.562049192033,7457.661037145531,0.0195635756441912,0.0191635756441912,256.5
SP,long,2022-12-02 13:30:00,2022-12-14 13:30:00,7635.878034806705,7632.261657205108,-0.0004736033741126189,-0.0008736033741126188,288.0
SP,short,2022-12-19 13:30:00,2022-12-23 09:00:00,7425.769738913887,7348.28283433187,0.010434864977829306,0.010034864977829306,91.5
SP,short,2023-01-05 13:30:00,2023-01-06 21:00:00,7507.242066383729,7499.135315309908,0.001079857423290198,0.0006798574232901981,31.5
SP,short,2023-01-09 09:00:00,2023-01-10 09:00:00,7593.596588691818,7310.13147875859,0.03732949289870857,0.036929492898708574,24.0
SP,short,2023-01-10 13:30:00,2023-01-13 21:00:00,7230.936885674052,7209.502342750049,0.0029642829501760337,0.0025642829501760335,79.5
SP,long,2023-01-20 13:30:00,2023-02-07 13:30:00,7625.151806203532,7682.100447910637,0.007468525631289635,0.007068525631289635,432.0
SP,short,2023-02-13 21:00:00,2023-02-15 13:30:00,7590.548221660534,7638.430578199556,-0.0063081552400108265,-0.006708155240010827,40.5
SP,short,2023-02-20 09:00:00,2023-02-21 13:30:00,7478.610903169267,7513.817721162689,-0.004707668101639362,-0.005107668101639362,28.5
SP,short,2023-02-23 21:00:00,2023-03-03 09:00:00,7532.781666417704,7244.1616946393215,0.03831519146042628,0.03791519146042628,180.0
SP,short,2023-03-03 13:30:00,2023-03-24 13:30:00,7219.57917429589,6503.452261729366,0.09919233452223564,0.09879233452223564,504.0
SP,short,2023-03-31 21:00:00,2023-04-03 13:30:00,6445.086205067725,6535.067807835693,-0.013961272185500917,-0.014361272185500916,64.5
SP,short,2023-04-04 09:00:00,2023-04-10 09:00:00,6428.910807507975,6371.163304559091,0.008982470698060352,0.008582470698060353,144.0
SP,short,2023-04-10 13:30:00,2023-04-17 21:00:00,6301.223066265608,6153.211541755037,0.023489332619086256,0.023089332619086255,175.5
SP,short,2023-04-21 13:30:00,2023-05-05 21:00:00,6040.231310488385,5922.388049161387,0.01950972657659189,0.01910972657659189,343.5
SP,long,2023-05-18 13:30:00,2023-05-22 09:00:00,6128.144527870345,6111.637363230148,-0.0026936643816286576,-0.003093664381628658,91.5
SP,short,2023-05-22 21:00:00,2023-05-23 09:00:00,6095.082540838912,5907.194357824207,0.030826191730103147,0.030426191730103146,12.0
SP,short,2023-05-24 09:00:00,2023-05-25 09:00:00,6104.533267260469,5952.230715629036,0.024949090284797748,0.024549090284797747,24.0
SP,short,2023-05-31 13:30:00,2023-06-01 13:30:00,5879.308976709484,6037.614648481359,-0.02692589765208675,-0.02732589765208675,24.0
SP,short,2023-06-07 13:30:00,2023-06-09 21:00:00,5837.579329848358,5778.9915077448,0.010036321357380085,0.009636321357380085,55.5
SP,long,2023-06-14 13:30:00,2023-06-20 13:30:00,6032.074372532762,5987.791738343629,-0.007341194994341493,-0.0077411949943414935,144.0
SP,short,2023-06-26 13:30:00,2023-06-29 13:30:00,5856.641909885473,6003.573093942423,-0.02508795762447824,-0.025487957624478242,72.0
SP,long,2023-06-30 13:30:00,2023-07-10 09:00:00,6040.07240174351,6175.058552474183,0.02234843256046193,0.021948432560461927,235.5
SP,long,2023-07-11 13:30:00,2023-07-17 13:30:00,6264.609389357847,6002.769076079665,-0.041796750125074,-0.042196750125074,144.0
SP,long,2023-07-26 13:30:00,2023-08-01 09:00:00,6194.454340263132,6295.674283960119,0.016340413236896723,0.01594041323689672,139.5
SP,short,2023-08-08 09:00:00,2023-08-11 09:00:00,6202.767692176989,6155.839006097152,0.007565765543504632,0.007165765543504632,72.0
SP,short,2023-08-14 13:30:00,2023-08-22 21:00:00,6113.168003181262,6107.391004325708,0.000945009012110809,0.000545009012110809,199.5
SP,long,2023-08-24 13:30:00,2023-08-29 13:30:00,6297.751187298756,6193.879565324048,-0.01649344645183759,-0.01689344645183759,120.0
SP,long,2023-09-01 13:30:00,2023-09-07 13:30:00,6462.674829230247,6345.053029987406,-0.018200172892939848,-0.01860017289293985,144.0
SP,long,2023-09-15 21:00:00,2023-09-25 13:30:00,6433.784935600471,6741.227703391291,0.047785676840024216,0.04738567684002422,232.5
SP,long,2023-09-26 21:00:00,2023-09-27 09:00:00,6759.541451960624,6942.77949241321,0.027108057810554254,0.026708057810554253,12.0
SP,long,2023-09-27 13:30:00,2023-10-17 09:00:00,6965.940277912179,7039.047892016651,0.010495010176341024,0.010095010176341025,475.5
SP,short,2023-10-23 13:30:00,2023-11-02 09:00:00,6753.2669090838,6653.663688877549,0.014748894356933273,0.014348894356933274,235.5
SP,long,2023-11-08 13:30:00,2023-11-09 13:30:00,6921.238617798926,6666.141419472923,-0.036857159883201374,-0.03725715988320137,24.0
SP,short,2023-11-09 21:00:00,2023-11-10 09:00:00,6838.374678899761,6601.331320655184,0.034663698521227526,0.03426369852122753,12.0
SP,short,2023-11-22 13:30:00,2023-11-27 13:30:00,6498.6164348634575,6514.645116547728,-0.0024664760330030955,-0.0028664760330030957,120.0
SP,short,2023-11-29 21:00:00,2023-12-08 13:30:00,6508.812420549443,6303.296494487555,0.03157502671501777,0.031175026715017772,208.5
SP,long,2023-12-21 21:00:00,2023-12-26 13:30:00,6399.413888442405,6387.710060908915,-0.0018288905417771506,-0.002228890541777151,112.5
P,long,2022-01-13 21:00:00,2022-01-26 09:00:00,8171.114522101027,8638.588596345728,0.05721056448055983,0.056810564480559836,300.0
P,long,2022-01-27 13:30:00,2022-02-09 13:30:00,8896.929078724246,9010.92855220752,0.012813350817405977,0.012413350817405978,312.0
P,long,2022-02-15 21:00:00,2022-02-17 09:00:00,9181.409498054276,9275.539584087344,0.010252247876866516,0.009852247876866517,36.0
P,long,2022-02-18 21:00:00,2022-03-01 09:00:00,9336.348474837456,10496.313952609346,0.12424187902777306,0.12384187902777306,252.0
P,long,2022-03-01 21:00:00,2022-03-09 09:00:00,10366.342965875496,10989.58064776739,0.06012126783220495,0.05972126783220495,180.0
P,short,2022-03-17 21:00:00,2022-03-22 21:00:00,10573.661786774499,9990.387646594487,0.05516292765383979,0.05476292765383979,120.0
P,short,2022-04-01 13:30:00,2022-04-06 13:30:00,10134.530067435846,10657.356814709497,-0.051588652240876165,-0.05198865224087616,120.0
P,long,2022-04-08 21:00:00,2022-04-22 13:30:00,10525.258252921269,11453.730843992138,0.0882137586327798,0.0878137586327798,328.5
P,long,2022-04-25 13:30:00,2022-04-27 09:00:00,11920.764881094929,11900.459799658229,-0.0017033371297257016,-0.002103337129725702,43.5
P,long,2022-04-28 13:30:00,2022-05-06 13:30:00,12151.192369081145,11928.196918510052,-0.01835173403546042,-0.018751734035460422,192.0
P,long,2022-05-20 21:00:00,2022-06-09 13:30:00,11640.819083772381,12110.290417209924,0.040329750858511204,0.03992975085851121,472.5
P,short,2022-06-13 13:30:00,2022-06-28 21:00:00,11578.582206942732,9807.371497984692,0.15297302185201822,0.1525730218520182,367.5
P,short,2022-07-01 13:30:00,2022-07-11 09:00:00,9147.825378553902,8646.150809344826,0.054840855443655245,0.05444085544365525,235.5
P,short,2022-07-13 13:30:00,2022-07-18 13:30:00,7723.174178715393,8149.563724827392,-0.05520910654677502,-0.05560910654677502,120.0
P,long,2022-07-29 13:30:00,2022-08-02 13:30:00,8809.006859906012,8298.10148877769,-0.057998067120789365,-0.05839806712078936,96.0
P,short,2022-08-04 13:30:00,2022-08-08 13:30:00,8040.211506878775,8640.49013163423,-0.07465955643603261,-0.07505955643603261,96.0
P,long,2022-08-11 13:30:00,2022-08-17 09:00:00,8828.694035229677,8837.836813888738,0.001035575434212399,0.0006355754342123991,139.5
P,long,2022-08-24 13:30:00,2022-08-29 13:30:00,9194.650081428748,9107.585879930111,-0.00946900651222049,-0.00986900651222049,120.0
P,short,2022-09-01 21:00:00,2022-09-02 09:00:00,9011.118391825845,8518.53083963872,0.05466441908409059,0.05426441908409059,12.0
P,short,2022-09-02 13:30:00,2022-09-15 09:00:00,8442.739996753584,8401.210284427792,0.004918985109308216,0.004518985109308216,307.5
P,short,2022-09-20 21:00:00,2022-09-22 13:30:00,8197.87145748004,8392.653822882332,-0.023760114611770966,-0.024160114611770967,40.5
P,short,2022-09-26 13:30:00,2022-10-10 13:30:00,7732.253771271695,7985.577959583536,-0.03276201167284998,-0.033162011672849975,336.0
P,long,2022-10-14 21:00:00,2022-10-17 09:00:00,7941.013790792136,8151.936535098597,0.026561185997565406,0.026161185997565405,60.0
P,long,2022-10-18 13:30:00,2022-10-28 13:30:00,8448.085579945902,8390.613110880717,-0.006803016910909898,-0.007203016910909898,240.0
P,long,2022-11-02 13:30:00,2022-11-09 09:00:00,9069.090624069922,8911.510594123452,-0.017375505050996276,-0.017775505050996277,163.5
P,short,2022-11-16 21:00:00,2022-11-22 13:30:00,8614.71605272293,8491.78528148838,0.014269857588131818,0.013869857588131819,136.5
P,short,2022-11-23 09:00:00,2022-11-23 13:30:00,8492.79088624733,8455.301235146093,0.004414291085624855,0.004014291085624855,4.5
P,long,2022-11-25 21:00:00,2022-12-02 13:30:00,8686.378623439743,8722.086413476873,0.0041107798295567655,0.0037107798295567653,160.5
P,short,2022-12-08 13:30:00,2022-12-16 09:00:00,8415.765090149449,8199.136807059025,0.025740771132500395,0.025340771132500394,187.5
P,short,2022-12-22 09:00:00,2022-12-26 13:30:00,8167.788499535907,8227.619479822413,-0.007325236236210841,-0.007725236236210842,100.5
P,long,2022-12-30 21:00:00,2023-01-05 13:30:00,8485.370300847673,8402.874754734205,-0.009722091457249338,-0.010122091457249337,136.5
P,short,2023-01-10 13:30:00,2023-01-18 09:00:00,8209.071007559427,8109.833207455771,0.012088797869122092,0.011688797869122093,187.5
P,short,2023-02-02 13:30:00,2023-02-06 13:30:00,8011.2206367542385,8220.516179114959,-0.026125299982440175,-0.026525299982440177,96.0
